,Liquid Alternative Beta Index,,,Event Driven Liquid Index,,,Global Strategies Liquid Index,,,Long/Short Liquid Index,,,Managed Futures Liquid Index,,,Merger Arbitrage Liquid Index,,
,CSLAB,,,CSLABED,,,CSLABGS,,,CSLABLS,,,CSLABMF,,,CSLABMA,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
6/8/2020,USD,1405.94,0.22%,USD,1639.25,-0.01%,USD,1145.41,-0.02%,USD,1764.73,0.89%,USD,988.28,0.10%,USD,1240.18,0.05%
6/7/2020,USD,1402.83,0.00%,USD,1639.4,0.00%,USD,1145.59,0.00%,USD,1749.2,0.00%,USD,987.34,0.00%,USD,1239.56,0.00%
6/6/2020,USD,1402.83,0.00%,USD,1639.4,0.00%,USD,1145.59,0.00%,USD,1749.2,0.00%,USD,987.34,0.00%,USD,1239.56,0.00%
6/5/2020,USD,1402.83,0.71%,USD,1639.4,0.95%,USD,1145.59,0.35%,USD,1749.2,1.39%,USD,987.34,-0.66%,USD,1239.56,0.15%
6/4/2020,USD,1392.99,0.02%,USD,1623.98,0.14%,USD,1141.61,0.06%,USD,1725.17,-0.14%,USD,993.89,-0.05%,USD,1237.7,0.29%
6/3/2020,USD,1392.75,0.61%,USD,1621.73,1.01%,USD,1140.95,0.39%,USD,1727.64,0.90%,USD,994.4,-0.63%,USD,1234.13,0.05%
6/2/2020,USD,1384.33,0.39%,USD,1605.55,0.77%,USD,1136.54,0.33%,USD,1712.26,0.35%,USD,1000.75,-0.47%,USD,1233.5,-0.19%
6/1/2020,USD,1378.89,0.22%,USD,1593.3,0.41%,USD,1132.85,0.11%,USD,1706.3,0.36%,USD,1005.49,-0.83%,USD,1235.84,0.23%
5/31/2020,USD,1375.88,0.00%,USD,1586.73,0.00%,USD,1131.57,0.00%,USD,1700.25,0.00%,USD,1013.95,0.00%,USD,1232.96,0.00%
5/30/2020,USD,1375.88,0.00%,USD,1586.73,0.00%,USD,1131.57,0.00%,USD,1700.25,0.00%,USD,1013.95,0.00%,USD,1232.96,0.00%
5/29/2020,USD,1375.88,-0.09%,USD,1586.73,-0.22%,USD,1131.57,-0.06%,USD,1700.25,-0.09%,USD,1013.95,0.35%,USD,1232.96,-0.21%
5/28/2020,USD,1377.14,-0.12%,USD,1590.25,0.16%,USD,1132.25,0.03%,USD,1701.83,-0.62%,USD,1010.39,-0.49%,USD,1235.5,0.02%
5/27/2020,USD,1378.8,0.45%,USD,1587.75,0.42%,USD,1131.9,0.17%,USD,1712.38,1.11%,USD,1015.35,0.23%,USD,1235.24,0.25%
5/26/2020,USD,1372.63,0.64%,USD,1581.04,1.12%,USD,1129.99,0.39%,USD,1693.59,0.95%,USD,1013.02,-1.45%,USD,1232.14,-0.07%
5/25/2020,USD,1363.93,0.00%,USD,1563.48,0.00%,USD,1125.6,0.00%,USD,1677.61,0.00%,USD,1027.93,0.00%,USD,1233.02,0.00%
5/24/2020,USD,1363.93,0.00%,USD,1563.48,0.00%,USD,1125.6,0.00%,USD,1677.61,0.00%,USD,1027.93,0.00%,USD,1233.02,0.00%
5/23/2020,USD,1363.93,0.00%,USD,1563.48,0.00%,USD,1125.6,0.00%,USD,1677.61,0.00%,USD,1027.93,0.00%,USD,1233.02,0.00%
5/22/2020,USD,1363.93,0.18%,USD,1563.48,0.20%,USD,1125.6,0.13%,USD,1677.61,0.28%,USD,1027.93,0.64%,USD,1233.02,0.11%
5/21/2020,USD,1361.48,0.18%,USD,1560.31,0.40%,USD,1124.11,0.24%,USD,1672.99,-0.06%,USD,1021.39,0.35%,USD,1231.64,-0.13%
5/20/2020,USD,1359,0.61%,USD,1554.07,0.96%,USD,1121.47,0.37%,USD,1673.96,0.99%,USD,1017.85,-0.26%,USD,1233.28,0.13%
5/19/2020,USD,1350.7,-0.11%,USD,1539.27,0.16%,USD,1117.32,0.10%,USD,1657.48,-0.75%,USD,1020.47,-0.23%,USD,1231.68,-0.09%
5/18/2020,USD,1352.22,0.73%,USD,1536.85,0.68%,USD,1116.19,0.17%,USD,1670.04,2.17%,USD,1022.78,-1.49%,USD,1232.73,-0.32%
5/17/2020,USD,1342.4,0.00%,USD,1526.42,0.00%,USD,1114.34,0.00%,USD,1634.59,0.00%,USD,1038.22,0.00%,USD,1236.7,0.00%
5/16/2020,USD,1342.4,0.00%,USD,1526.42,0.00%,USD,1114.34,0.00%,USD,1634.59,0.00%,USD,1038.22,0.00%,USD,1236.7,0.00%
5/15/2020,USD,1342.4,0.18%,USD,1526.42,0.07%,USD,1114.34,0.04%,USD,1634.59,0.59%,USD,1038.22,0.06%,USD,1236.7,0.17%
5/14/2020,USD,1339.99,-0.07%,USD,1525.36,-0.22%,USD,1113.9,-0.08%,USD,1625,0.06%,USD,1037.57,0.33%,USD,1234.64,-0.23%
5/13/2020,USD,1340.89,-0.42%,USD,1528.74,-0.41%,USD,1114.81,-0.12%,USD,1624.09,-1.16%,USD,1034.11,0.76%,USD,1237.46,-0.13%
5/12/2020,USD,1346.55,-0.26%,USD,1534.96,0.01%,USD,1116.2,0.08%,USD,1643.22,-1.25%,USD,1026.32,0.30%,USD,1239.1,-0.23%
5/11/2020,USD,1350.11,-0.09%,USD,1534.87,-0.01%,USD,1115.33,-0.05%,USD,1663.94,-0.22%,USD,1023.23,-0.01%,USD,1241.97,-0.17%
5/10/2020,USD,1351.29,0.00%,USD,1535.02,0.00%,USD,1115.89,0.00%,USD,1667.64,0.00%,USD,1023.36,0.00%,USD,1244.07,0.00%
5/9/2020,USD,1351.29,0.00%,USD,1535.02,0.00%,USD,1115.89,0.00%,USD,1667.64,0.00%,USD,1023.36,0.00%,USD,1244.07,0.00%
5/8/2020,USD,1351.29,0.48%,USD,1535.02,0.24%,USD,1115.89,0.13%,USD,1667.64,1.49%,USD,1023.36,-0.59%,USD,1244.07,-0.05%
5/7/2020,USD,1344.83,0.17%,USD,1531.39,0.20%,USD,1114.47,0.05%,USD,1643.16,0.47%,USD,1029.43,-0.13%,USD,1244.7,0.19%
5/6/2020,USD,1342.51,-0.10%,USD,1528.36,0.01%,USD,1113.92,-0.02%,USD,1635.55,-0.38%,USD,1030.73,0.20%,USD,1242.3,-0.04%
5/5/2020,USD,1343.89,0.09%,USD,1528.17,0.22%,USD,1114.09,-0.02%,USD,1641.83,0.28%,USD,1028.63,-0.42%,USD,1242.84,-0.07%
5/4/2020,USD,1342.72,-0.05%,USD,1524.74,-0.05%,USD,1114.32,-0.06%,USD,1637.23,-0.02%,USD,1032.92,0.46%,USD,1243.68,-0.60%
5/3/2020,USD,1343.4,0.00%,USD,1525.56,0.00%,USD,1115.02,0.00%,USD,1637.56,0.00%,USD,1028.21,0.00%,USD,1251.19,0.00%
5/2/2020,USD,1343.4,0.00%,USD,1525.56,0.00%,USD,1115.02,0.00%,USD,1637.56,0.00%,USD,1028.21,0.00%,USD,1251.19,0.00%
5/1/2020,USD,1343.4,-0.38%,USD,1525.56,-0.26%,USD,1115.02,0.02%,USD,1637.56,-1.41%,USD,1028.21,0.75%,USD,1251.19,-0.03%
4/30/2020,USD,1348.51,-0.28%,USD,1529.58,0.00%,USD,1114.82,0.10%,USD,1661.06,-1.33%,USD,1020.57,0.03%,USD,1251.51,0.09%
4/29/2020,USD,1352.26,0.49%,USD,1529.54,0.31%,USD,1113.74,0.09%,USD,1683.49,1.57%,USD,1020.26,-0.56%,USD,1250.4,0.26%
4/28/2020,USD,1345.66,0.14%,USD,1524.84,0.12%,USD,1112.74,0.01%,USD,1657.41,0.48%,USD,1026.02,-0.27%,USD,1247.2,-0.10%
4/27/2020,USD,1343.73,0.36%,USD,1523.06,0.13%,USD,1112.61,0.02%,USD,1649.45,1.33%,USD,1028.8,-0.65%,USD,1248.39,-0.02%
4/26/2020,USD,1338.96,0.00%,USD,1521.01,0.00%,USD,1112.44,0.00%,USD,1627.79,0.00%,USD,1035.52,0.00%,USD,1248.6,0.00%
4/25/2020,USD,1338.96,0.00%,USD,1521.01,0.00%,USD,1112.44,0.00%,USD,1627.79,0.00%,USD,1035.52,0.00%,USD,1248.6,0.00%
4/24/2020,USD,1338.96,0.09%,USD,1521.01,-0.12%,USD,1112.44,-0.04%,USD,1627.79,0.56%,USD,1035.52,0.23%,USD,1248.6,0.02%
4/23/2020,USD,1337.69,0.06%,USD,1522.91,0.05%,USD,1112.92,-0.01%,USD,1618.69,0.23%,USD,1033.16,-0.32%,USD,1248.34,0.03%
4/22/2020,USD,1336.95,0.12%,USD,1522.14,0.05%,USD,1113.05,-0.05%,USD,1615,0.58%,USD,1036.45,-0.42%,USD,1247.93,0.16%
4/21/2020,USD,1335.39,-0.43%,USD,1521.32,-0.60%,USD,1113.64,-0.15%,USD,1605.67,-1.05%,USD,1040.85,1.18%,USD,1245.96,-0.17%
4/20/2020,USD,1341.17,-0.22%,USD,1530.48,-0.19%,USD,1115.28,-0.06%,USD,1622.73,-0.66%,USD,1028.76,0.31%,USD,1248.1,-0.12%
4/19/2020,USD,1344.18,0.00%,USD,1533.43,0.00%,USD,1115.91,0.00%,USD,1633.5,0.00%,USD,1025.55,0.00%,USD,1249.6,0.00%
4/18/2020,USD,1344.18,0.00%,USD,1533.43,0.00%,USD,1115.91,0.00%,USD,1633.5,0.00%,USD,1025.55,0.00%,USD,1249.6,0.00%
4/17/2020,USD,1344.18,0.53%,USD,1533.43,0.45%,USD,1115.91,0.14%,USD,1633.5,1.56%,USD,1025.55,-0.79%,USD,1249.6,0.36%
4/16/2020,USD,1337.09,0.07%,USD,1526.51,0.02%,USD,1114.33,0.01%,USD,1608.46,0.25%,USD,1033.72,0.17%,USD,1245.17,0.28%
4/15/2020,USD,1336.13,-0.32%,USD,1526.27,-0.49%,USD,1114.18,-0.14%,USD,1604.5,-0.67%,USD,1031.93,1.09%,USD,1241.67,-0.02%
4/14/2020,USD,1340.45,0.59%,USD,1533.73,0.67%,USD,1115.75,0.35%,USD,1615.27,1.15%,USD,1020.76,-0.23%,USD,1241.98,0.78%
4/13/2020,USD,1332.57,-0.01%,USD,1523.51,0.28%,USD,1111.9,-0.02%,USD,1596.97,-0.16%,USD,1023.14,-0.27%,USD,1232.4,-0.14%
4/12/2020,USD,1332.73,0.00%,USD,1519.22,0.00%,USD,1112.16,0.00%,USD,1599.45,0.00%,USD,1025.92,0.00%,USD,1234.17,0.00%
4/11/2020,USD,1332.73,0.00%,USD,1519.22,0.00%,USD,1112.16,0.00%,USD,1599.45,0.00%,USD,1025.92,0.00%,USD,1234.17,0.00%
4/10/2020,USD,1332.73,0.00%,USD,1519.22,0.00%,USD,1112.16,0.00%,USD,1599.45,0.00%,USD,1025.92,0.00%,USD,1234.17,0.00%
4/9/2020,USD,1332.73,0.81%,USD,1519.22,2.19%,USD,1112.16,0.57%,USD,1599.45,0.61%,USD,1025.92,-0.36%,USD,1234.17,0.16%
4/8/2020,USD,1321.98,0.40%,USD,1486.6,0.49%,USD,1105.86,0.21%,USD,1589.76,0.80%,USD,1029.64,0.07%,USD,1232.18,0.20%
4/7/2020,USD,1316.72,0.28%,USD,1479.29,0.71%,USD,1103.5,0.16%,USD,1577.07,0.34%,USD,1028.94,-1.11%,USD,1229.74,0.61%
4/6/2020,USD,1313.02,0.84%,USD,1468.84,0.72%,USD,1101.76,0.36%,USD,1571.71,2.11%,USD,1040.44,-0.81%,USD,1222.29,0.01%
4/5/2020,USD,1302.13,0.00%,USD,1458.3,0.00%,USD,1097.84,0.00%,USD,1539.2,0.00%,USD,1048.98,0.00%,USD,1222.13,0.00%
4/4/2020,USD,1302.13,0.00%,USD,1458.3,0.00%,USD,1097.84,0.00%,USD,1539.2,0.00%,USD,1048.98,0.00%,USD,1222.13,0.00%
4/3/2020,USD,1302.13,-0.36%,USD,1458.3,-0.68%,USD,1097.84,-0.23%,USD,1539.2,-0.48%,USD,1048.98,0.35%,USD,1222.13,-0.36%
4/2/2020,USD,1306.77,0.20%,USD,1468.34,-0.14%,USD,1100.35,0.02%,USD,1546.67,0.83%,USD,1045.33,-0.16%,USD,1226.51,0.59%
4/1/2020,USD,1304.22,-0.73%,USD,1470.43,-1.17%,USD,1100.09,-0.34%,USD,1533.92,-1.45%,USD,1047,1.50%,USD,1219.37,-0.87%
3/31/2020,USD,1313.78,-0.03%,USD,1487.84,0.31%,USD,1103.79,-0.05%,USD,1556.45,-0.19%,USD,1031.54,-0.34%,USD,1230.07,-0.54%
3/30/2020,USD,1314.18,0.48%,USD,1483.23,0.66%,USD,1104.33,0.28%,USD,1559.35,0.87%,USD,1035.02,0.41%,USD,1236.76,0.28%
3/29/2020,USD,1307.9,0.00%,USD,1473.48,0.00%,USD,1101.2,0.00%,USD,1545.97,0.00%,USD,1030.82,0.00%,USD,1233.36,0.00%
3/28/2020,USD,1307.9,0.00%,USD,1473.48,0.00%,USD,1101.2,0.00%,USD,1545.97,0.00%,USD,1030.82,0.00%,USD,1233.36,0.00%
3/27/2020,USD,1307.9,-0.18%,USD,1473.48,0.48%,USD,1101.2,-0.04%,USD,1545.97,-0.91%,USD,1030.82,-0.30%,USD,1233.36,-0.27%
3/26/2020,USD,1310.25,1.19%,USD,1466.45,2.34%,USD,1101.65,0.70%,USD,1560.13,1.76%,USD,1033.94,-1.68%,USD,1236.67,0.99%
3/25/2020,USD,1294.8,0.41%,USD,1432.89,1.40%,USD,1093.95,0.17%,USD,1533.09,0.46%,USD,1051.57,-1.82%,USD,1224.55,0.72%
3/24/2020,USD,1289.47,0.91%,USD,1413.09,1.12%,USD,1092.1,0.20%,USD,1526.02,2.65%,USD,1071.01,-3.68%,USD,1215.79,2.21%
3/23/2020,USD,1277.79,-0.67%,USD,1397.43,-1.32%,USD,1089.96,-0.27%,USD,1486.58,-1.30%,USD,1111.9,1.03%,USD,1189.51,0.83%
3/22/2020,USD,1286.36,0.00%,USD,1416.11,0.00%,USD,1092.92,0.00%,USD,1506.13,0.00%,USD,1100.56,0.00%,USD,1179.68,0.00%
3/21/2020,USD,1286.36,0.00%,USD,1416.11,0.00%,USD,1092.92,0.00%,USD,1506.13,0.00%,USD,1100.56,0.00%,USD,1179.68,0.00%
3/20/2020,USD,1286.36,-0.14%,USD,1416.11,-0.30%,USD,1092.92,-0.05%,USD,1506.13,-0.28%,USD,1100.56,0.60%,USD,1179.68,0.97%
3/19/2020,USD,1288.15,-0.55%,USD,1420.38,-1.05%,USD,1093.46,-0.52%,USD,1510.31,-0.34%,USD,1094,-1.29%,USD,1168.31,2.71%
3/18/2020,USD,1295.31,-1.22%,USD,1435.51,-2.44%,USD,1099.18,-0.74%,USD,1515.47,-1.74%,USD,1108.26,1.23%,USD,1137.53,-3.18%
3/17/2020,USD,1311.36,0.53%,USD,1471.48,0.03%,USD,1107.33,0.30%,USD,1542.31,1.39%,USD,1094.82,-0.35%,USD,1174.91,0.04%
3/16/2020,USD,1304.51,-2.38%,USD,1471.1,-3.81%,USD,1104.02,-1.62%,USD,1521.17,-3.47%,USD,1098.63,1.84%,USD,1174.49,-5.33%
3/15/2020,USD,1336.28,0.00%,USD,1529.31,0.00%,USD,1122.2,0.00%,USD,1575.83,0.00%,USD,1078.81,0.00%,USD,1240.56,0.00%
3/14/2020,USD,1336.28,0.00%,USD,1529.31,0.00%,USD,1122.2,0.00%,USD,1575.83,0.00%,USD,1078.81,0.00%,USD,1240.56,0.00%
3/13/2020,USD,1336.28,1.16%,USD,1529.31,1.02%,USD,1122.2,0.80%,USD,1575.83,2.14%,USD,1078.81,-1.81%,USD,1240.56,0.74%
3/12/2020,USD,1320.98,-2.06%,USD,1513.9,-3.36%,USD,1113.24,-1.43%,USD,1542.75,-2.87%,USD,1098.72,2.02%,USD,1231.45,-2.36%
3/11/2020,USD,1348.71,-0.96%,USD,1566.53,-1.41%,USD,1129.4,-0.68%,USD,1588.34,-1.38%,USD,1076.99,0.45%,USD,1261.22,-0.13%
3/10/2020,USD,1361.75,0.61%,USD,1589.01,0.65%,USD,1137.16,0.32%,USD,1610.56,1.30%,USD,1072.21,-1.51%,USD,1262.88,2.00%
3/9/2020,USD,1353.52,-1.59%,USD,1578.73,-3.31%,USD,1133.49,-0.84%,USD,1589.84,-2.42%,USD,1088.64,4.97%,USD,1238.16,-1.79%
3/8/2020,USD,1375.34,0.00%,USD,1632.76,0.00%,USD,1143.09,0.00%,USD,1629.29,0.00%,USD,1037.08,0.00%,USD,1260.74,0.00%
3/7/2020,USD,1375.34,0.00%,USD,1632.76,0.00%,USD,1143.09,0.00%,USD,1629.29,0.00%,USD,1037.08,0.00%,USD,1260.74,0.00%
3/6/2020,USD,1375.34,-0.38%,USD,1632.76,-1.27%,USD,1143.09,-0.07%,USD,1629.29,-0.60%,USD,1037.08,2.84%,USD,1260.74,-0.79%
3/5/2020,USD,1380.52,-0.56%,USD,1653.7,-0.76%,USD,1143.88,-0.41%,USD,1639.12,-0.83%,USD,1008.46,0.62%,USD,1270.78,-0.67%
3/4/2020,USD,1388.31,0.83%,USD,1666.35,0.66%,USD,1148.54,0.64%,USD,1652.81,1.40%,USD,1002.22,0.43%,USD,1279.39,-0.12%
3/3/2020,USD,1376.87,-0.26%,USD,1655.5,0.22%,USD,1141.19,-0.22%,USD,1629.95,-0.65%,USD,997.94,0.04%,USD,1280.92,0.29%
3/2/2020,USD,1380.45,0.78%,USD,1651.79,0.65%,USD,1143.7,0.58%,USD,1640.6,1.37%,USD,997.57,-0.14%,USD,1277.21,0.26%
3/1/2020,USD,1369.72,0.00%,USD,1641.11,0.00%,USD,1137.11,0.00%,USD,1618.39,0.00%,USD,998.96,0.00%,USD,1273.95,0.00%
2/29/2020,USD,1369.72,0.00%,USD,1641.11,0.00%,USD,1137.11,0.00%,USD,1618.39,0.00%,USD,998.96,0.00%,USD,1273.95,0.00%
2/28/2020,USD,1369.72,-0.49%,USD,1641.11,-0.61%,USD,1137.11,-0.45%,USD,1618.39,-0.51%,USD,998.96,-1.25%,USD,1273.95,-0.06%
2/27/2020,USD,1376.42,-0.99%,USD,1651.19,-0.96%,USD,1142.21,-0.90%,USD,1626.72,-1.23%,USD,1011.59,-1.06%,USD,1274.71,0.03%
2/26/2020,USD,1390.2,-0.14%,USD,1667.13,-0.25%,USD,1152.63,-0.10%,USD,1646.94,-0.20%,USD,1022.42,0.05%,USD,1274.33,-0.14%
2/25/2020,USD,1392.21,-0.68%,USD,1671.35,-0.48%,USD,1153.75,-0.67%,USD,1650.21,-0.84%,USD,1021.94,-1.45%,USD,1276.14,-0.03%
2/24/2020,USD,1401.8,-0.78%,USD,1679.42,-0.82%,USD,1161.54,-0.60%,USD,1664.17,-1.21%,USD,1037,-0.07%,USD,1276.58,0.02%
2/23/2020,USD,1412.87,0.00%,USD,1693.26,0.00%,USD,1168.56,0.00%,USD,1684.61,0.00%,USD,1037.74,0.00%,USD,1276.34,0.00%
2/22/2020,USD,1412.87,0.00%,USD,1693.26,0.00%,USD,1168.56,0.00%,USD,1684.61,0.00%,USD,1037.74,0.00%,USD,1276.34,0.00%
2/21/2020,USD,1412.87,-0.18%,USD,1693.26,-0.13%,USD,1168.56,-0.15%,USD,1684.61,-0.29%,USD,1037.74,-0.41%,USD,1276.34,-0.02%
2/20/2020,USD,1415.44,0.04%,USD,1695.51,0.02%,USD,1170.31,0.14%,USD,1689.49,-0.21%,USD,1042.04,0.83%,USD,1276.55,-0.02%
2/19/2020,USD,1414.89,0.32%,USD,1695.13,0.12%,USD,1168.62,0.36%,USD,1693.05,0.35%,USD,1033.47,0.80%,USD,1276.82,0.03%
2/18/2020,USD,1410.33,-0.05%,USD,1693.08,-0.04%,USD,1164.4,-0.08%,USD,1687.07,0.00%,USD,1025.26,-0.24%,USD,1276.42,0.22%
2/17/2020,USD,1411.04,0.00%,USD,1693.69,0.00%,USD,1165.28,0.00%,USD,1687.04,0.00%,USD,1027.77,0.00%,USD,1273.64,0.00%
2/16/2020,USD,1411.04,0.00%,USD,1693.69,0.00%,USD,1165.28,0.00%,USD,1687.04,0.00%,USD,1027.77,0.00%,USD,1273.64,0.00%
2/15/2020,USD,1411.04,0.00%,USD,1693.69,0.00%,USD,1165.28,0.00%,USD,1687.04,0.00%,USD,1027.77,0.00%,USD,1273.64,0.00%
2/14/2020,USD,1411.04,0.05%,USD,1693.69,-0.04%,USD,1165.28,0.09%,USD,1687.04,0.02%,USD,1027.77,0.30%,USD,1273.64,-0.08%
2/13/2020,USD,1410.3,0.05%,USD,1694.4,0.05%,USD,1164.22,-0.01%,USD,1686.69,0.19%,USD,1024.72,-0.10%,USD,1274.66,0.05%
2/12/2020,USD,1409.57,0.20%,USD,1693.59,0.16%,USD,1164.29,0.14%,USD,1683.54,0.37%,USD,1025.7,-0.33%,USD,1273.98,0.12%
2/11/2020,USD,1406.78,0.00%,USD,1690.96,0.25%,USD,1162.69,-0.06%,USD,1677.38,-0.01%,USD,1029.12,-0.62%,USD,1272.48,0.17%
2/10/2020,USD,1406.79,0.32%,USD,1686.74,0.06%,USD,1163.43,0.31%,USD,1677.51,0.51%,USD,1035.5,0.63%,USD,1270.3,-0.04%
2/9/2020,USD,1402.25,0.00%,USD,1685.74,0.00%,USD,1159.78,0.00%,USD,1669.02,0.00%,USD,1028.99,0.00%,USD,1270.76,0.00%
2/8/2020,USD,1402.25,0.00%,USD,1685.74,0.00%,USD,1159.78,0.00%,USD,1669.02,0.00%,USD,1028.99,0.00%,USD,1270.76,0.00%
2/7/2020,USD,1402.25,-0.14%,USD,1685.74,-0.14%,USD,1159.78,-0.08%,USD,1669.02,-0.27%,USD,1028.99,0.42%,USD,1270.76,-0.13%
2/6/2020,USD,1404.17,0.18%,USD,1688.17,0.08%,USD,1160.68,0.18%,USD,1673.55,0.24%,USD,1024.65,0.38%,USD,1272.38,0.04%
2/5/2020,USD,1401.61,0.22%,USD,1686.78,0.29%,USD,1158.55,0.20%,USD,1669.53,0.23%,USD,1020.76,-0.05%,USD,1271.81,-0.20%
2/4/2020,USD,1398.5,0.61%,USD,1681.93,0.31%,USD,1156.21,0.55%,USD,1665.72,0.91%,USD,1021.24,0.26%,USD,1274.3,0.03%
2/3/2020,USD,1390.08,0.34%,USD,1676.74,0.18%,USD,1149.83,0.24%,USD,1650.68,0.67%,USD,1018.6,-0.05%,USD,1273.89,-0.09%
2/2/2020,USD,1385.39,0.00%,USD,1673.79,0.00%,USD,1147.09,0.00%,USD,1639.64,0.00%,USD,1019.08,0.00%,USD,1275.07,0.00%
2/1/2020,USD,1385.39,0.00%,USD,1673.79,0.00%,USD,1147.09,0.00%,USD,1639.64,0.00%,USD,1019.08,0.00%,USD,1275.07,0.00%
1/31/2020,USD,1385.39,-0.56%,USD,1673.79,-0.22%,USD,1147.09,-0.58%,USD,1639.64,-0.74%,USD,1019.08,-0.43%,USD,1275.07,0.10%
1/30/2020,USD,1393.22,0.05%,USD,1677.56,-0.16%,USD,1153.74,-0.01%,USD,1651.79,0.30%,USD,1023.49,-0.34%,USD,1273.8,0.07%
1/29/2020,USD,1392.59,-0.10%,USD,1680.26,0.00%,USD,1153.81,-0.08%,USD,1646.93,-0.19%,USD,1026.96,-0.03%,USD,1272.95,-0.09%
1/28/2020,USD,1393.93,0.38%,USD,1680.3,0.36%,USD,1154.77,0.34%,USD,1650,0.51%,USD,1027.27,0.00%,USD,1274.08,-0.31%
1/27/2020,USD,1388.6,-0.73%,USD,1674.26,-0.47%,USD,1150.9,-0.85%,USD,1641.62,-0.60%,USD,1027.26,-1.60%,USD,1278.06,0.14%
1/26/2020,USD,1398.8,0.00%,USD,1682.1,0.00%,USD,1160.79,0.00%,USD,1651.57,0.00%,USD,1044,0.00%,USD,1276.24,0.00%
1/25/2020,USD,1398.8,0.00%,USD,1682.1,0.00%,USD,1160.79,0.00%,USD,1651.57,0.00%,USD,1044,0.00%,USD,1276.24,0.00%
1/24/2020,USD,1398.8,-0.29%,USD,1682.1,-0.30%,USD,1160.79,-0.20%,USD,1651.57,-0.49%,USD,1044,0.17%,USD,1276.24,0.03%
1/23/2020,USD,1402.84,-0.11%,USD,1687.18,-0.12%,USD,1163.1,-0.19%,USD,1659.73,0.07%,USD,1042.19,-0.64%,USD,1275.89,0.03%
1/22/2020,USD,1404.43,0.01%,USD,1689.18,-0.05%,USD,1165.29,-0.02%,USD,1658.59,0.10%,USD,1048.89,0.02%,USD,1275.51,-0.09%
1/21/2020,USD,1404.3,-0.20%,USD,1689.96,-0.11%,USD,1165.47,-0.28%,USD,1656.91,-0.07%,USD,1048.68,-0.95%,USD,1276.69,-0.07%
1/20/2020,USD,1407.14,0.00%,USD,1691.76,0.00%,USD,1168.75,0.00%,USD,1658.1,0.00%,USD,1058.75,0.00%,USD,1277.61,0.00%
1/19/2020,USD,1407.14,0.00%,USD,1691.76,0.00%,USD,1168.75,0.00%,USD,1658.1,0.00%,USD,1058.75,0.00%,USD,1277.61,0.00%
1/18/2020,USD,1407.14,0.00%,USD,1691.76,0.00%,USD,1168.75,0.00%,USD,1658.1,0.00%,USD,1058.75,0.00%,USD,1277.61,0.00%
1/17/2020,USD,1407.14,0.06%,USD,1691.76,-0.04%,USD,1168.75,0.10%,USD,1658.1,0.03%,USD,1058.75,0.66%,USD,1277.61,-0.04%
1/16/2020,USD,1406.24,0.23%,USD,1692.42,0.21%,USD,1167.53,0.18%,USD,1657.57,0.35%,USD,1051.77,-0.10%,USD,1278.1,0.12%
1/15/2020,USD,1403.02,0.05%,USD,1688.87,0.09%,USD,1165.39,0.02%,USD,1651.8,0.07%,USD,1052.81,0.02%,USD,1276.63,0.02%
1/14/2020,USD,1402.37,0.03%,USD,1687.38,0.08%,USD,1165.1,0.04%,USD,1650.6,-0.01%,USD,1052.65,0.15%,USD,1276.35,0.05%
1/13/2020,USD,1401.89,0.16%,USD,1686.01,0.14%,USD,1164.62,0.11%,USD,1650.82,0.29%,USD,1051.08,0.04%,USD,1275.68,-0.04%
1/12/2020,USD,1399.66,0.00%,USD,1683.67,0.00%,USD,1163.34,0.00%,USD,1646.02,0.00%,USD,1050.67,0.00%,USD,1276.24,0.00%
1/11/2020,USD,1399.66,0.00%,USD,1683.67,0.00%,USD,1163.34,0.00%,USD,1646.02,0.00%,USD,1050.67,0.00%,USD,1276.24,0.00%
1/10/2020,USD,1399.66,0.03%,USD,1683.67,-0.02%,USD,1163.34,0.09%,USD,1646.02,-0.09%,USD,1050.67,0.40%,USD,1276.24,0.00%
1/9/2020,USD,1399.23,0.17%,USD,1684.02,0.03%,USD,1162.24,0.24%,USD,1647.51,0.09%,USD,1046.51,0.54%,USD,1276.3,0.04%
1/8/2020,USD,1396.9,0.06%,USD,1683.57,0.04%,USD,1159.5,-0.01%,USD,1646.03,0.23%,USD,1040.93,-0.47%,USD,1275.75,0.12%
1/7/2020,USD,1396.04,0.03%,USD,1682.88,-0.02%,USD,1159.56,0.05%,USD,1642.19,-0.01%,USD,1045.82,0.14%,USD,1274.23,-0.19%
1/6/2020,USD,1395.67,0.13%,USD,1683.19,0.04%,USD,1158.95,0.11%,USD,1642.32,0.21%,USD,1044.35,-0.18%,USD,1276.6,0.38%
1/5/2020,USD,1393.92,0.00%,USD,1682.47,0.00%,USD,1157.67,0.00%,USD,1638.83,0.00%,USD,1046.23,0.00%,USD,1271.75,0.00%
1/4/2020,USD,1393.92,0.00%,USD,1682.47,0.00%,USD,1157.67,0.00%,USD,1638.83,0.00%,USD,1046.23,0.00%,USD,1271.75,0.00%
1/3/2020,USD,1393.92,-0.17%,USD,1682.47,-0.04%,USD,1157.67,-0.21%,USD,1638.83,-0.17%,USD,1046.23,-0.45%,USD,1271.75,0.04%
